"","Gene","ES_MeanTPM","IPS_MeanTPM","ES_Log2","IPS_Log2","Log2FoldChange","ABSV_Log2"
"14098","CTAGE10P",0.00633333333333333,0.00478787878787879,-7.30281927193966,-7.70639765584344,-0.403578383903779,0.403578383903779
"14099","IL1RN",0.00633333333333333,0.00478787878787879,-7.30281927193966,-7.70639765584344,-0.403578383903779,0.403578383903779
"14100","WDR18",66.8566666666667,50.5439696969697,6.0629995218835,5.65946707213455,-0.40353244974895,0.40353244974895
"14101","ADAMTS19",22.8816666666667,17.2994545454545,4.5161202345982,4.11265464506303,-0.403465589535167,0.403465589535167
"14102","TOMM34",41.002,30.9995151515152,5.35762237826952,4.95417374606511,-0.403448632204409,0.403448632204409
"14103","FDXR",23.978,18.1288181818182,4.58363942376405,4.18021297370338,-0.403426450060667,0.403426450060667
"14104","HLCS",10.7106666666667,8.09851515151515,3.42097637579352,3.01765741664956,-0.403318959143952,0.403318959143952
"14105","SPATA9",0.226333333333333,0.299333333333333,-2.14347902113851,-1.7401751506421,0.403303870496415,0.403303870496415
"14106","DIP2C",8.56533333333333,6.47666666666667,3.09850939213407,2.69525149508946,-0.403257897044608,0.403257897044608
"14107","AC026271.5",0.033,0.0436363636363636,-4.92139016530363,-4.51832530769087,0.403064857612768,0.403064857612768
"14108","TMPRSS15",0.0513333333333333,0.0678787878787879,-4.28396024468834,-3.88089538707557,0.403064857612768,0.403064857612768
"14109","SEC24C",51.952,39.2938484848485,5.699107384624,5.29623156882046,-0.40287581580354,0.40287581580354
"14110","FSD2",0.398,0.526181818181818,-1.32915966411844,-0.92636669676766,0.402792967350779,0.402792967350779
"14111","DEFB134",0.052,0.0393333333333333,-4.265344566521,-4.6681037360214,-0.402759169500407,0.402759169500407
"14112","C12orf29",18.7046666666667,24.727,4.22532635093211,4.62801531044763,0.402688959515529,0.402688959515529
"14113","HNRNPA1P13",0.027,0.0204242424242424,-5.21089678249862,-5.61357362283868,-0.402676840340063,0.402676840340063
"14114","OGDHL",11.632,8.79939393939394,3.54002726925751,3.13740416116572,-0.402623108091784,0.402623108091784
"14115","RBM18",13.3443333333333,17.6398484848485,3.73815532687765,4.14076626399728,0.402610937119633,0.402610937119633
"14116","FAM169A",24.333,32.1643939393939,4.60484229507773,5.00739259971156,0.402550304633825,0.402550304633825
"14117","LL0XNC01.116E7.1",0.298333333333333,0.22569696969697,-1.74500291323162,-2.14754104646175,-0.402538133230122,0.402538133230122
"14118","SLC2A4",2.87733333333333,3.80312121212121,1.52473236410477,1.92718392091418,0.402451556809404,0.402451556809404
"14119","RP11.759L5.2",0.106,0.140090909090909,-3.23786383009889,-2.8355647567846,0.402299073314289,0.402299073314289
"14120","TBRG1",23.377,17.689,4.547017893755,4.14478058634029,-0.40223730741471,0.40223730741471
"14121","CDC25B",23.8093333333333,18.0164242424242,4.57345532027683,4.1712407997336,-0.402214520543229,0.402214520543229
"14122","IL18",1.345,1.77745454545455,0.427606172781899,0.829812666519345,0.402206493737446,0.402206493737446
"14123","MICA",9.18233333333333,12.134303030303,3.19886080513002,3.60101934028599,0.402158535155968,0.402158535155968
"14124","SNRPE",436.141333333333,330.063151515152,8.76865191160742,8.36659827382528,-0.402053637782144,0.402053637782144
"14125","E2F3",33.7586666666667,25.5482424242424,5.07718601933014,4.67515214013846,-0.402033879191678,0.402033879191678
"14126","SNRPF",139.286333333333,184.04,7.12190989854308,7.52387555132852,0.40196565278544,0.40196565278544
"14127","HIST1H2AH",0.800666666666667,1.05787878787879,-0.320726349677609,0.0811743324195753,0.401900682097184,0.401900682097184
"14128","GSS",34.639,26.2169696969697,5.11432537611062,4.71242903537445,-0.401896340736173,0.401896340736173
"14129","RP11.516A11.1",0.015,0.0198181818181818,-6.05889368905357,-5.65703157852246,0.40186211053111,0.40186211053111
"14130","RBMX2P3",0.01,0.0132121212121212,-6.64385618977472,-6.24199407924361,0.40186211053111,0.40186211053111
"14131","PDIA3",841.767666666667,637.154606060606,9.7172782848237,9.31549967580918,-0.401778609014517,0.401778609014517
"14132","DUSP22",30.2576666666667,22.9028484848485,4.91922883266601,4.51745513597815,-0.401773696687859,0.401773696687859
"14133","GUSBP5",1.94466666666667,2.56909090909091,0.959522885514934,1.36125794192192,0.401735056406983,0.401735056406983
"14134","CNTNAP3B",2.55533333333333,1.93427272727273,1.35351149741727,0.951791225292526,-0.401720272124749,0.401720272124749
"14135","CHMP1B",35.934,47.4672424242424,5.16727763303746,5.56886033474471,0.401582701707255,0.401582701707255
"14136","NME6",19.0426666666667,14.4163636363636,4.25116361751379,3.8496354019507,-0.401528215563083,0.401528215563083
"14137","CHSY1",44.4916666666667,33.6836060606061,5.47546323805599,5.07397469193968,-0.401488546116315,0.401488546116315
"14138","TCEA1",188.335666666667,248.765636363636,7.55716243056852,7.95864340003521,0.401480969466688,0.401480969466688
"14139","NT5C2",52.2593333333333,69.0273636363636,5.70761681535799,6.10909647933891,0.401479663980919,0.401479663980919
"14140","SGOL1",26.813,35.4131818181818,4.74486074065273,5.1462145682995,0.401353827646774,0.401353827646774
"14141","ACOT4",0.993,1.31145454545455,-0.0101343771337132,0.391167805175342,0.401302182309055,0.401302182309055
"14142","RP3.486I3.4",0.956666666666667,0.724393939393939,-0.0639117638201931,-0.465153618785484,-0.401241854965291,0.401241854965291
"14143","SGTA",73.2013333333333,55.4303636363636,6.19379802175555,5.79260456696575,-0.401193454789793,0.401193454789793
"14144","HIVEP1",12.5766666666667,9.52354545454545,3.65267769431423,3.25149876444252,-0.401178929871709,0.401178929871709
"14145","ANAPC10",25.3436666666667,33.4662121212121,4.66355336045266,5.06463336347393,0.401080003021271,0.401080003021271
"14146","TSNAX",32.7436666666667,43.2309090909091,5.03314398009657,5.43399126947779,0.400847289381212,0.400847289381212
"14147","HIBCH",34.6873333333333,45.7953333333333,5.11633702935275,5.51712868622531,0.40079165687256,0.40079165687256
"14148","GDPD2",24.3556666666667,18.4483333333333,4.6061855682538,4.20541858053101,-0.400766987722789,0.400766987722789
"14149","AC073052.1",0.346,0.262090909090909,-1.53115605702536,-1.93186078180448,-0.400704724779115,0.400704724779115
"14150","AAAS",75.4826666666667,57.1799696969697,6.2380734865435,5.83743795028759,-0.400635536255909,0.400635536255909
"14151","DCLRE1A",11.4743333333333,15.1467272727273,3.52033842938624,3.92093420162466,0.400595772238421,0.400595772238421
