,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
271,1385.7599999999998,753.49,463.84,119.92000000000002,114.79,116.93,71.50999999999998,77.14,81.45,83.91999999999999,67.71,69.07,42.81,27.559999999999995,56.15000000000001,53.02,50.46,41.59,15.69,31.16,1
201,1610.38,890.75,667.15,110.79,109.87,158.77000000000004,81.04,115.27,100.41,89.71,97.96,112.51,81.77000000000002,97.09,61.38,59.9,56.8,57.2,38.19,44.6,1
521,6.25,0.02,12.97,0.0,0.0,0.0,0.31,0.0,0.68,0.94,0.0,0.0,0.0,0.06,0.98,0.14,0.29,0.05,0.0,0.0,0
243,1752.31,1005.31,699.6800000000003,134.73,108.54,127.57,102.31,136.44000000000003,65.38,79.9,89.58,111.74,106.41,59.46,61.27,59.03,65.61,45.28,33.32,33.54,1
377,39.32,0.09,13.17,0.0,0.3,0.01,1.02,0.07,8.08,2.79,0.56,0.0,0.64,0.06,0.93,0.74,0.1,0.04,0.0,2.29,0
299,1920.69,829.1800000000002,533.73,49.62,102.34,107.72,97.28,131.18,41.18,84.69,64.3,100.76,93.71,86.06,56.01,53.14,50.7,35.26,54.86,20.59,1
44,1618.35,759.29,709.4599999999998,128.14999999999998,140.44,141.31,83.89,52.0,102.74,112.7,75.6,32.32,40.93,57.02,56.19,32.07,61.04,38.86,17.700000000000006,29.86,1
601,12.83,0.03,25.16,0.0,0.04,0.11,0.24,0.0,0.45,1.06,0.0,0.0,0.01,0.01,1.72,0.0,1.13,0.25,0.04,0.05,0
545,130.1,10.39,12.66,7.46,0.38,1.84,6.2,0.66,1.51,43.42,4.76,0.41,0.57,0.13,3.0,1.42,8.45,8.84,0.9,0.04,0
208,1270.4600000000005,550.66,274.67,32.52,108.96,106.56000000000002,50.36,36.78,123.66,56.94,51.0,7.18,26.91,101.28,43.5,57.0,22.35,34.28,10.65,13.35,1
379,71.84,0.02,31.79,0.0,0.67,0.0,1.18,27.77,0.8,3.24,0.05,0.0,29.34,0.02,1.07,1.1,1.01,0.09,0.0,0.18,0
456,43.02,0.02,5.62,0.0,0.0,0.09,1.46,0.0,7.69,1.95,0.0,0.0,0.0,0.01,0.88,0.02,0.25,0.07,0.0,0.02,0
145,1748.77,944.07,647.59,151.09,112.4,128.58,95.27,161.78,54.68,89.2,91.18,79.5,66.21,52.54,71.09,58.1,64.89,43.39,43.33,36.7,1
209,1851.46,1020.37,867.8100000000002,131.41,146.48,111.82999999999998,113.99,70.37,86.12,94.32,91.6,114.04,112.69,61.73,70.37,74.09,54.9,58.46,45.61,30.26,1
17,1703.93,1068.41,967.38,151.68,123.07999999999998,102.72,119.53000000000002,126.27,59.3,88.74,105.58,100.41,116.18,41.98,64.55000000000001,71.16,65.36,51.36,43.36,45.05,1
385,95.08,0.06,27.51,0.0,0.97,0.02,1.44,18.82,1.59,2.99,0.02,0.0,23.97,0.02,0.51,1.3,1.13,1.0,0.02,0.35,0
603,74.93,0.02,19.06,0.0,0.01,0.01,0.43,0.0,5.02,2.91,0.0,0.0,0.0,0.01,2.5,0.96,1.07,0.01,0.0,0.01,0
15,1865.23,718.49,396.79,123.52,135.82999999999998,104.78,72.53,61.47,99.59,65.45,64.08,68.3,48.53,54.45,64.36,42.94,63.19,33.31,29.87,30.67,1
534,10.17,0.0,13.74,0.0,0.06,0.01,0.19,0.21,0.11,0.89,0.01,0.0,0.59,0.0,0.8,0.0,8.51,0.28,0.0,1.56,0
404,19.25,0.0,12.13,0.0,0.19,0.01,0.07,0.0,0.19,0.24,0.01,0.04,0.02,0.03,0.57,0.15,0.47,0.06,0.0,0.01,0
594,19.37,0.02,16.98,0.0,0.02,0.05,0.11,0.0,1.02,1.23,0.02,0.0,0.0,0.0,1.1,0.07,0.59,0.0,0.0,0.39,0
97,1595.19,943.43,997.31,137.4,131.36,99.6,98.17,83.01999999999998,68.38,63.35,78.82,83.04,101.72,60.54,58.96,61.49,53.28,42.76,50.69,32.14,1
70,1498.2,783.3199999999998,496.43000000000006,70.19,121.5,121.75,70.95,53.91,104.97,111.05,78.52,34.76,30.270000000000003,49.65000000000001,74.57,45.71,50.26,56.31,12.82,33.02,1
