,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11
147,1680.7100000000007,882.3799999999999,792.2500000000001,136.05,125.85,114.63,84.35000000000002,48.98,91.29,69.99,75.53,51.82,73.42,77.78,72.13000000000002,55.42,48.12,18.630000000000006,34.47,22.23
148,1742.9899999999998,457.25,194.29000000000005,97.76,120.54000000000002,45.97999999999998,51.99,15.4,120.98,37.36,13.0,20.64,11.76,93.26,41.46,59.77,34.13,9.5,18.92,10.4
149,1704.04,1030.97,892.35,151.93,100.1,121.01000000000002,106.73,150.97000000000003,60.72,95.2,100.31,93.47,94.71,45.95,67.05,62.38,53.26,55.6,37.96,38.98
150,1680.7000000000005,832.35,352.67,155.75,94.9,49.24,82.12,165.39,25.34,41.95,34.26,120.68,54.13,41.05,57.2,59.1,43.58,30.440000000000005,24.59,18.1
151,1571.52,845.4000000000002,693.7500000000001,161.38,113.87,126.14,85.6,89.32,84.05,112.0,95.29,72.1,59.88,38.32,66.16,47.33,58.97,49.37000000000001,17.7,37.66
152,966.01,605.9,208.46000000000004,128.07,29.87,54.38,49.31,191.3100000000001,31.32,27.31,47.74,51.49,31.71,36.0,69.0,25.24,27.16,38.53,12.22,14.26
153,1444.5500000000004,663.51,426.73,85.84,56.21,131.01,93.23,193.7,36.87000000000001,50.12000000000001,79.76,66.67,65.98,37.7,53.17,42.18,38.67,47.14,20.29,68.07
154,1733.9,883.9100000000002,653.0300000000002,132.04,110.26999999999998,147.40999999999997,98.65,135.8,69.99000000000001,98.83,95.16,86.29,62.75,56.97,69.83000000000001,40.22,54.79,52.58,25.9,52.01
155,1711.26,961.16,789.79,140.16,118.46,137.46,97.42,129.57000000000002,65.78999999999999,83.26,93.93,117.58,110.09,63.12,63.98,63.2,66.88,40.06,48.08000000000001,35.28
156,1394.21,907.82,615.4900000000001,92.1,108.47,80.36999999999998,78.49000000000002,24.15,85.47,50.42,107.54,108.62,96.12,159.84,48.8,88.59,34.73,40.45,50.84,27.54
157,1550.54,853.59,712.5000000000001,114.8,83.15,137.42,112.07,186.98,35.35,78.25,95.98,89.35,68.28,77.05000000000003,69.94,52.7,50.87,47.12,34.07,19.48
