,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
273,1543.37,719.3,709.04,131.37,139.77,97.57,92.7,91.69,53.74,43.16,69.34,37.75,73.72,80.98,49.8,75.58,58.39,19.14,80.71000000000002,15.06,1
236,1923.64,710.9399999999998,540.71,120.68,88.73,82.47999999999998,69.47999999999999,53.11999999999999,80.16,50.45,52.88,46.33,32.5,49.77,62.08,39.46,49.69,30.6,17.59,19.05,1
94,1507.0,0.02,15.79,0.03,0.03,69.62,0.17,0.0,28.63,0.31,0.0,0.0,0.02,0.03,2.98,0.11,0.0,0.67,0.04,4.03,0
122,1826.53,932.58,645.25,129.93,122.98,119.32,94.11,116.92000000000002,70.29,92.75,78.78,88.68,49.21,61.15,59.23,60.92,60.77,47.65000000000001,36.83000000000001,31.47,1
28,396.9,0.02,20.23,0.0,0.0,14.21,0.3,0.0,9.07,0.27,0.0,0.0,0.0,0.0,1.98,0.07,0.0,0.08,0.0,0.01,0
365,1731.97,660.16,360.28999999999985,109.9,153.68,79.21000000000002,61.24,35.63,125.22,74.39,52.2,62.35,41.97,89.64999999999998,67.85,52.64,60.05,25.81,20.82,17.46,1
89,1559.0,0.02,16.77,0.0,0.01,45.93,0.06,0.0,28.03,0.43,0.0,0.0,0.0,0.0,5.15,0.12,0.0,1.36,0.0,3.58,0
71,1607.0,0.01,16.01,0.09,0.01,37.37,0.12,0.0,37.13,0.24,0.0,0.0,0.0,0.01,3.15,0.29,0.0,0.8,0.0,0.45,0
258,1824.56,1061.93,800.6,146.63,124.82,129.07000000000002,102.01,170.80999999999997,66.35999999999999,86.35,78.64,113.92,77.35,36.74,65.64,55.68,69.84,40.43,42.43,25.71,1
411,1652.9899999999998,886.0899999999998,742.3500000000001,117.99,132.37,78.09,84.95,32.15000000000001,87.02000000000002,95.77,63.5,44.76,51.40000000000001,65.47,69.43,43.85,51.76,52.37000000000001,18.55,21.75,1
111,1559.82,908.83,568.58,121.22,82.29000000000002,94.19,101.91,230.26,21.46,46.3,69.24,151.88,93.89,68.67,60.23,62.8,44.84,20.18,32.46,36.69,1
418,1891.63,1090.12,539.9200000000002,123.35,121.16,89.1,109.4,154.62,71.53999999999998,81.64999999999998,82.91,162.97,114.18,51.66,65.0,106.78,53.17,37.96,34.35,35.99,1
65,1263.0,0.03,13.94,0.03,0.04,23.77,0.4,0.0,13.82,0.38,0.0,0.0,0.0,0.01,0.71,0.24,0.03,0.0,0.03,0.0,0
423,1209.64,709.12,260.46,135.47,51.35,39.540000000000006,62.23,160.46999999999997,28.349999999999994,30.12,31.21,49.86,70.12,33.99,52.69,40.66,29.17,23.340000000000003,20.11,10.38,1
259,2032.47,808.48,813.6199999999999,127.0,108.55,105.34,83.34,73.09000000000002,76.49000000000002,65.58,77.06,49.91,46.87000000000001,78.22,63.14,61.17999999999999,48.17,32.32,30.57,27.09,1
52,562.1,0.0,22.22,0.0,0.01,24.37,0.03,0.0,15.55,0.08,0.0,0.0,0.0,0.0,2.88,0.05,0.05,0.24,0.0,1.21,0
125,1580.6899999999996,533.69,336.74,49.28,152.52000000000004,127.7,56.23000000000001,24.83,116.83,100.86,44.93,20.61,17.23,49.6,39.24,36.48,49.53,40.75,9.96,19.85,1
221,605.81,738.38,675.85,77.37,117.54999999999998,79.30000000000003,42.87,97.12,56.77000000000001,39.79,33.32,56.47,42.37,40.64,43.44,47.19,59.02,34.92,8.489999999999998,23.7,1
188,1901.12,970.17,1001.83,160.39,127.7,151.11999999999995,111.03,148.29999999999995,50.55,80.16999999999999,101.5,79.48,87.18,72.46999999999998,75.24000000000002,63.59,53.09,44.21,63.83,24.17,1
361,1532.3299999999995,757.57,769.96,134.03,121.77,135.84000000000003,60.93,31.06,142.03000000000003,52.85,92.22,84.6,64.31,247.79,56.36,81.58,39.98,49.46,33.4,40.05,1
371,1385.7599999999998,753.49,463.84,119.92000000000002,114.79,116.93,71.50999999999998,77.14,81.45,83.91999999999999,67.71,69.07,42.81,27.559999999999995,56.15000000000001,53.02,50.46,41.59,15.69,31.16,1
326,1719.3000000000004,809.8599999999999,622.8,131.07,113.87,93.04,70.92999999999998,36.93,81.68,71.53,68.36,48.81,50.22,64.14,55.10000000000001,38.85,55.04,37.86,17.23,21.21,1
205,1624.19,810.1700000000002,733.9499999999998,157.96,140.15,99.71999999999998,89.93,47.12,97.95,78.63,71.25,61.55,80.93,68.55,54.790000000000006,40.67,81.24,29.93,22.6,23.07,1
33,262.8,0.0,25.14,0.0,0.1,8.16,0.23,0.03,5.58,0.16,0.0,0.0,0.0,0.02,0.83,0.93,0.0,0.18,0.0,0.43,0
27,516.4,0.0,17.43,0.0,0.0,13.48,0.16,0.03,5.92,0.17,0.0,0.0,0.0,0.02,2.14,0.19,0.0,0.32,0.0,0.22,0
391,1787.7299999999998,689.82,607.73,123.8,163.88000000000005,71.01,79.60999999999999,48.27,78.35000000000002,43.12000000000001,57.01,94.08,80.24,58.63000000000001,52.3,66.69,44.96,25.98,33.22,12.35,1
152,1557.13,1011.79,612.01,113.92,103.88,129.41999999999996,101.37999999999998,161.33,58.81,83.99000000000002,94.09,107.74,85.14,54.38,61.67,62.7,50.36,42.41,35.2,46.68,1
168,1649.39,615.53,666.5400000000002,110.99,124.83,102.93,59.18,8.899999999999997,135.25,47.23,84.52,37.6,52.93,225.68,61.75,63.96,31.14,35.18,32.75,30.08,1
130,1708.77,853.0,662.3699999999999,92.27,129.20999999999998,128.07999999999998,86.95000000000002,84.71999999999998,91.47,93.15,91.45,84.25,54.17,92.08,68.04,68.68,57.59,34.92,30.69,27.06,1
120,1131.4800000000002,935.36,705.1199999999999,115.68,122.46,111.47,72.93,140.56,59.14,53.18,46.27,115.59,100.28,40.89,55.88,67.23,75.92,37.94,21.96,47.68,1
